"gene.symbol","description","entrezgene"
"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1 [KO:K02649]","5295"
"PIK3R2","phosphoinositide-3-kinase regulatory subunit 2 [KO:K02649]","5296"
"PIK3R3","phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]","8503"
"AKT1","AKT serine/threonine kinase 1 [KO:K04456] [EC:2.7.11.1]","207"
"AKT2","AKT serine/threonine kinase 2 [KO:K04456] [EC:2.7.11.1]","208"
"AKT3","AKT serine/threonine kinase 3 [KO:K04456] [EC:2.7.11.1]","10000"
"MAP2K5","mitogen-activated protein kinase kinase 5 [KO:K04463] [EC:2.7.12.2]","5607"
"MAPK7","mitogen-activated protein kinase 7 [KO:K04464] [EC:2.7.11.24]","5598"
"MEF2A","myocyte enhancer factor 2A [KO:K09260]","4205"
"MEF2C","myocyte enhancer factor 2C [KO:K04454]","4208"
"KLF2","Kruppel like factor 2 [KO:K17845]","10365"
"ITGA2B","integrin subunit alpha 2b [KO:K06476]","3674"
"ITGAV","integrin subunit alpha V [KO:K06487]","3685"
"ITGB3","integrin subunit beta 3 [KO:K06493]","3690"
"SRC","SRC proto-oncogene, non-receptor tyrosine kinase [KO:K05704] [EC:2.7.10.2]","6714"
"PTK2","protein tyrosine kinase 2 [KO:K05725] [EC:2.7.10.2]","5747"
"ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2 [KO:K12791]","9181"
"RHOA","ras homolog family member A [KO:K04513]","387"
"ACTB","actin beta [KO:K05692]","60"
"ACTG1","actin gamma 1 [KO:K05692]","71"
"DUSP1","dual specificity phosphatase 1 [KO:K21278] [EC:3.1.3.48 3.1.3.16]","1843"
"MIR10A","microRNA 10a [KO:K16864]","406902"
"TNFRSF1A","TNF receptor superfamily member 1A [KO:K03158]","7132"
"IL1R1","interleukin 1 receptor type 1 [KO:K04386]","3554"
"IL1R2","interleukin 1 receptor type 2 [KO:K04387]","7850"
"MAP3K7","mitogen-activated protein kinase kinase kinase 7 [KO:K04427] [EC:2.7.11.25]","6885"
"IKBKG","inhibitor of nuclear factor kappa B kinase subunit gamma [KO:K07210]","8517"
"CHUK","conserved helix-loop-helix ubiquitous kinase [KO:K04467] [EC:2.7.11.10]","1147"
"IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta [KO:K07209] [EC:2.7.11.10]","3551"
"NFKB1","nuclear factor kappa B subunit 1 [KO:K02580]","4790"
"RELA","RELA proto-oncogene, NF-kB subunit [KO:K04735]","5970"
"MAP3K5","mitogen-activated protein kinase kinase kinase 5 [KO:K04426] [EC:2.7.11.25]","4217"
"MAP2K4","mitogen-activated protein kinase kinase 4 [KO:K04430] [EC:2.7.12.2]","6416"
"MAP2K7","mitogen-activated protein kinase kinase 7 [KO:K04431] [EC:2.7.12.2]","5609"
"MAPK8","mitogen-activated protein kinase 8 [KO:K04440] [EC:2.7.11.24]","5599"
"MAPK10","mitogen-activated protein kinase 10 [KO:K04440] [EC:2.7.11.24]","5602"
"MAPK9","mitogen-activated protein kinase 9 [KO:K04440] [EC:2.7.11.24]","5601"
"MAP2K6","mitogen-activated protein kinase kinase 6 [KO:K04433] [EC:2.7.12.2]","5608"
"MAPK11","mitogen-activated protein kinase 11 [KO:K04441] [EC:2.7.11.24]","5600"
"MAPK12","mitogen-activated protein kinase 12 [KO:K04441] [EC:2.7.11.24]","6300"
"MAPK13","mitogen-activated protein kinase 13 [KO:K04441] [EC:2.7.11.24]","5603"
"MAPK14","mitogen-activated protein kinase 14 [KO:K04441] [EC:2.7.11.24]","1432"
"FOS","Fos proto-oncogene, AP-1 transcription factor subunit [KO:K04379]","2353"
"JUN","Jun proto-oncogene, AP-1 transcription factor subunit [KO:K04448]","3725"
"MMP2","matrix metallopeptidase 2 [KO:K01398] [EC:3.4.24.24]","4313"
"MMP9","matrix metallopeptidase 9 [KO:K01403] [EC:3.4.24.35]","4318"
"CTSL","cathepsin L [KO:K01365] [EC:3.4.22.15]","1514"
"CCL2","C-C motif chemokine ligand 2 [KO:K14624]","6347"
"VCAM1","vascular cell adhesion molecule 1 [KO:K06527]","7412"
"ICAM1","intercellular adhesion molecule 1 [KO:K06490]","3383"
"SELE","selectin E [KO:K06494]","6401"
"TNF","tumor necrosis factor [KO:K03156]","7124"
"IL1A","interleukin 1 alpha [KO:K04383]","3552"
"IL1B","interleukin 1 beta [KO:K04519]","3553"
"IFNG","interferon gamma [KO:K04687]","3458"
"PDGFA","platelet derived growth factor subunit A [KO:K04359]","5154"
"PDGFB","platelet derived growth factor subunit B [KO:K17386]","5155"
"EDN1","endothelin 1 [KO:K16366]","1906"
"VEGFA","vascular endothelial growth factor A [KO:K05448]","7422"
"BMP4","bone morphogenetic protein 4 [KO:K04662]","652"
"BMPR2","bone morphogenetic protein receptor type 2 [KO:K04671] [EC:2.7.11.30]","659"
"ACVR2A","activin A receptor type 2A [KO:K04670] [EC:2.7.11.30]","92"
"ACVR2B","activin A receptor type 2B [KO:K13596] [EC:2.7.11.30]","93"
"ACVR1","activin A receptor type 1 [KO:K04675] [EC:2.7.11.30]","90"
"BMPR1A","bone morphogenetic protein receptor type 1A [KO:K04673] [EC:2.7.11.30]","657"
"BMPR1B","bone morphogenetic protein receptor type 1B [KO:K13578] [EC:2.7.11.30]","658"
"NOX1","NADPH oxidase 1 [KO:K08008]","27035"
"CYBA","cytochrome b-245 alpha chain [KO:K08009]","1535"
"NCF1","neutrophil cytosolic factor 1 [KO:K08011]","653361"
"NCF2","neutrophil cytosolic factor 2 [KO:K08010]","4688"
"RAC1","Rac family small GTPase 1 [KO:K04392]","5879"
"RAC2","Rac family small GTPase 2 [KO:K07860]","5880"
"RAC3","Rac family small GTPase 3 [KO:K07861]","5881"
"PRKCZ","protein kinase C zeta [KO:K18952] [EC:2.7.11.13]","5590"
"PIAS4","protein inhibitor of activated STAT 4 [KO:K16065] [EC:2.3.2.27]","51588"
"TP53","tumor protein p53 [KO:K04451]","7157"
"SUMO3","small ubiquitin-like modifier 3 [KO:K12160]","6612"
"SUMO2","small ubiquitin-like modifier 2 [KO:K12160]","6613"
"SUMO1","small ubiquitin-like modifier 1 [KO:K12160]","7341"
"SUMO4","small ubiquitin-like modifier 4 [KO:K12160]","387082"
"BCL2","BCL2, apoptosis regulator [KO:K02161]","596"
"CXADR","CXADR, Ig-like cell adhesion molecule [KO:K06788]","1525"
"CD55","CD55 molecule (Cromer blood group) [KO:K04006]","1604"
"FYN","FYN proto-oncogene, Src family tyrosine kinase [KO:K05703] [EC:2.7.10.2]","2534"
"ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase [KO:K06619] [EC:2.7.10.2]","25"
"ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase [KO:K08887] [EC:2.7.10.2]","27"
"SGCD","sarcoglycan delta [KO:K12563]","6444"
"SGCG","sarcoglycan gamma [KO:K12564]","6445"
"SGCA","sarcoglycan alpha [KO:K12565]","6442"
"SGCB","sarcoglycan beta [KO:K12566]","6443"
"DAG1","dystroglycan 1 [KO:K06265]","1605"
"DMD","dystrophin [KO:K10366]","1756"
"EIF4G3","eukaryotic translation initiation factor 4 gamma 3 [KO:K03260]","8672"
"EIF4G1","eukaryotic translation initiation factor 4 gamma 1 [KO:K03260]","1981"
"EIF4G2","eukaryotic translation initiation factor 4 gamma 2 [KO:K03260]","1982"
"CCND1","cyclin D1 [KO:K04503]","595"
"CASP8","caspase 8 [KO:K04398] [EC:3.4.22.61]","841"
"BID","BH3 interacting domain death agonist [KO:K04726]","637"
"CYCS","cytochrome c, somatic [KO:K08738]","54205"
"CASP9","caspase 9 [KO:K04399] [EC:3.4.22.62]","842"
"CASP3","caspase 3 [KO:K02187] [EC:3.4.22.56]","836"
"MYH7","myosin heavy chain 7 [KO:K17751]","4625"
"MYH6","myosin heavy chain 6 [KO:K17751]","4624"
"CD40LG","CD40 ligand [KO:K03161]","959"
"CD40","CD40 molecule [KO:K03160]","958"
"HLA-DMA","major histocompatibility complex, class II, DM alpha [KO:K06752]","3108"
"HLA-DMB","major histocompatibility complex, class II, DM beta [KO:K06752]","3109"
"HLA-DOA","major histocompatibility complex, class II, DO alpha [KO:K06752]","3111"
"HLA-DOB","major histocompatibility complex, class II, DO beta [KO:K06752]","3112"
"HLA-DPA1","major histocompatibility complex, class II, DP alpha 1 [KO:K06752]","3113"
"HLA-DPB1","major histocompatibility complex, class II, DP beta 1 [KO:K06752]","3115"
"HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1 [KO:K06752]","3117"
"HLA-DQA2","major histocompatibility complex, class II, DQ alpha 2 [KO:K06752]","3118"
"HLA-DQB1","major histocompatibility complex, class II, DQ beta 1 [KO:K06752]","3119"
"HLA-DRA","major histocompatibility complex, class II, DR alpha [KO:K06752]","3122"
"HLA-DRB1","major histocompatibility complex, class II, DR beta 1 [KO:K06752]","3123"
"HLA-DRB3","major histocompatibility complex, class II, DR beta 3 [KO:K06752]","3125"
"HLA-DRB4","major histocompatibility complex, class II, DR beta 4 [KO:K06752]","3126"
"HLA-DRB5","major histocompatibility complex, class II, DR beta 5 [KO:K06752]","3127"
"HLA-A","major histocompatibility complex, class I, A [KO:K06751]","3105"
"HLA-B","major histocompatibility complex, class I, B [KO:K06751]","3106"
"HLA-C","major histocompatibility complex, class I, C [KO:K06751]","3107"
"HLA-F","major histocompatibility complex, class I, F [KO:K06751]","3134"
"HLA-G","major histocompatibility complex, class I, G [KO:K06751]","3135"
"HLA-E","major histocompatibility complex, class I, E [KO:K06751]","3133"
"CD80","CD80 molecule [KO:K05412]","941"
"CD86","CD86 molecule [KO:K05413]","942"
"CD28","CD28 molecule [KO:K06470]","940"
"PRF1","perforin 1 [KO:K07818]","5551"
"ITGAL","integrin subunit alpha L [KO:K05718]","3683"
"ITGB2","integrin subunit beta 2 [KO:K06464]","3689"
"IGH","immunoglobulin heavy variable 4-38-2-like [KO:K06856]","102723407"
"LAMA2","laminin subunit alpha 2 [KO:K05637]","3908"
"ITGA1","integrin subunit alpha 1 [KO:K06480]","3672"
"ITGA2","integrin subunit alpha 2 [KO:K06481]","3673"
"ITGA3","integrin subunit alpha 3 [KO:K06482]","3675"
"ITGA4","integrin subunit alpha 4 [KO:K06483]","3676"
"ITGA5","integrin subunit alpha 5 [KO:K06484]","3678"
"ITGA6","integrin subunit alpha 6 [KO:K06485]","3655"
"ITGA7","integrin subunit alpha 7 [KO:K06583]","3679"
"ITGA8","integrin subunit alpha 8 [KO:K06584]","8516"
"ITGA9","integrin subunit alpha 9 [KO:K06585]","3680"
"ITGA10","integrin subunit alpha 10 [KO:K06586]","8515"
"ITGA11","integrin subunit alpha 11 [KO:K06587]","22801"
"ITGB1","integrin subunit beta 1 [KO:K05719]","3688"
"ITGB4","integrin subunit beta 4 [KO:K06525]","3691"
"ITGB5","integrin subunit beta 5 [KO:K06588]","3693"
"ITGB6","integrin subunit beta 6 [KO:K06589]","3694"
"ITGB7","integrin subunit beta 7 [KO:K06590]","3695"
"ITGB8","integrin subunit beta 8 [KO:K06591]","3696"
"DES","desmin [KO:K07610]","1674"
"TTN","titin [KO:K12567] [EC:2.7.11.1]","7273"
"TNNT2","troponin T2, cardiac type [KO:K12045]","7139"
"TNNC1","troponin C1, slow skeletal and cardiac type [KO:K05865]","7134"
"TNNI3","troponin I3, cardiac type [KO:K12044]","7137"
"ACTC1","actin, alpha, cardiac muscle 1 [KO:K12314]","70"
"TPM1","tropomyosin 1 [KO:K10373]","7168"
"TPM2","tropomyosin 2 [KO:K10374]","7169"
"TPM3","tropomyosin 3 [KO:K09290]","7170"
"TPM4","tropomyosin 4 [KO:K10375]","7171"
"MYBPC3","myosin binding protein C, cardiac [KO:K12568]","4607"
"MYL3","myosin light chain 3 [KO:K12749]","4634"
"MYL2","myosin light chain 2 [KO:K10351]","4633"
"EMD","emerin [KO:K12569]","2010"
"LMNA","lamin A/C [KO:K12641]","4000"
"ADRB1","adrenoceptor beta 1 [KO:K04141]","153"
"GNAS","GNAS complex locus [KO:K04632]","2778"
"ADCY1","adenylate cyclase 1 [KO:K08041] [EC:4.6.1.1]","107"
"ADCY2","adenylate cyclase 2 [KO:K08042] [EC:4.6.1.1]","108"
"ADCY3","adenylate cyclase 3 [KO:K08043] [EC:4.6.1.1]","109"
"ADCY4","adenylate cyclase 4 [KO:K08044] [EC:4.6.1.1]","196883"
"ADCY5","adenylate cyclase 5 [KO:K08045] [EC:4.6.1.1]","111"
"ADCY6","adenylate cyclase 6 [KO:K08046] [EC:4.6.1.1]","112"
"ADCY7","adenylate cyclase 7 [KO:K08047] [EC:4.6.1.1]","113"
"ADCY8","adenylate cyclase 8 [KO:K08048] [EC:4.6.1.1]","114"
"ADCY9","adenylate cyclase 9 [KO:K08049] [EC:4.6.1.1]","115"
"PRKACA","protein kinase cAMP-activated catalytic subunit alpha [KO:K04345] [EC:2.7.11.11]","5566"
"PRKACB","protein kinase cAMP-activated catalytic subunit beta [KO:K04345] [EC:2.7.11.11]","5567"
"PRKACG","protein kinase cAMP-activated catalytic subunit gamma [KO:K04345] [EC:2.7.11.11]","5568"
"CACNA1C","calcium voltage-gated channel subunit alpha1 C [KO:K04850]","775"
"CACNA1D","calcium voltage-gated channel subunit alpha1 D [KO:K04851]","776"
"CACNA1F","calcium voltage-gated channel subunit alpha1 F [KO:K04853]","778"
"CACNA1S","calcium voltage-gated channel subunit alpha1 S [KO:K04857]","779"
"CACNB1","calcium voltage-gated channel auxiliary subunit beta 1 [KO:K04862]","782"
"CACNB2","calcium voltage-gated channel auxiliary subunit beta 2 [KO:K04863]","783"
"CACNB3","calcium voltage-gated channel auxiliary subunit beta 3 [KO:K04864]","784"
"CACNB4","calcium voltage-gated channel auxiliary subunit beta 4 [KO:K04865]","785"
"CACNA2D1","calcium voltage-gated channel auxiliary subunit alpha2delta 1 [KO:K04858]","781"
"CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [KO:K04859]","9254"
"CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3 [KO:K04860]","55799"
"CACNA2D4","calcium voltage-gated channel auxiliary subunit alpha2delta 4 [KO:K04861]","93589"
"CACNG1","calcium voltage-gated channel auxiliary subunit gamma 1 [KO:K04866]","786"
"CACNG2","calcium voltage-gated channel auxiliary subunit gamma 2 [KO:K04867]","10369"
"CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3 [KO:K04868]","10368"
"CACNG4","calcium voltage-gated channel auxiliary subunit gamma 4 [KO:K04869]","27092"
"CACNG5","calcium voltage-gated channel auxiliary subunit gamma 5 [KO:K04870]","27091"
"CACNG6","calcium voltage-gated channel auxiliary subunit gamma 6 [KO:K04871]","59285"
"CACNG7","calcium voltage-gated channel auxiliary subunit gamma 7 [KO:K04872]","59284"
"CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8 [KO:K04873]","59283"
"RYR2","ryanodine receptor 2 [KO:K04962]","6262"
"PLN","phospholamban [KO:K05852]","5350"
"IGF1","insulin like growth factor 1 [KO:K05459]","3479"
"TGFB1","transforming growth factor beta 1 [KO:K13375]","7040"
"TGFB2","transforming growth factor beta 2 [KO:K13376]","7042"
"TGFB3","transforming growth factor beta 3 [KO:K13377]","7043"
"AGT","angiotensinogen [KO:K09821]","183"
"ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [KO:K05853] [EC:7.2.2.10]","488"
"SLC8A1","solute carrier family 8 member A1 [KO:K05849]","6546"
"TCF7","transcription factor 7 [KO:K02620]","6932"
"TCF7L1","transcription factor 7 like 1 [KO:K04490]","83439"
"TCF7L2","transcription factor 7 like 2 [KO:K04491]","6934"
"LEF1","lymphoid enhancer binding factor 1 [KO:K04492]","51176"
"CDH2","cadherin 2 [KO:K06736]","1000"
"JUP","junction plakoglobin [KO:K10056]","3728"
"CTNNA3","catenin alpha 3 [KO:K05691]","29119"
"CTNNA1","catenin alpha 1 [KO:K05691]","1495"
"CTNNA2","catenin alpha 2 [KO:K05691]","1496"
"ACTN3","actinin alpha 3 (gene/pseudogene) [KO:K21073]","89"
"ACTN2","actinin alpha 2 [KO:K21073]","88"
"DSC2","desmocollin 2 [KO:K07601]","1824"
"PKP2","plakophilin 2 [KO:K12642]","5318"
"DSP","desmoplakin [KO:K10381]","1832"
"DSG2","desmoglein 2 [KO:K07597]","1829"
"GJA1","gap junction protein alpha 1 [KO:K07372]","2697"
"PRKAB1","protein kinase AMP-activated non-catalytic subunit beta 1 [KO:K07199]","5564"
"PRKAB2","protein kinase AMP-activated non-catalytic subunit beta 2 [KO:K07199]","5565"
"PRKAG1","protein kinase AMP-activated non-catalytic subunit gamma 1 [KO:K07200]","5571"
"PRKAG3","protein kinase AMP-activated non-catalytic subunit gamma 3 [KO:K07200]","53632"
"PRKAG2","protein kinase AMP-activated non-catalytic subunit gamma 2 [KO:K07200]","51422"
"ACE","angiotensin I converting enzyme [KO:K01283] [EC:3.4.15.1]","1636"
"IL6","interleukin 6 [KO:K05405]","3569"
"ADA","adenosine deaminase [KO:K01488] [EC:3.5.4.4]","100"
"IL7R","interleukin 7 receptor [KO:K05072]","3575"
"IL2RG","interleukin 2 receptor subunit gamma [KO:K05070]","3561"
"DCLRE1C","DNA cross-link repair 1C [KO:K10887] [EC:3.1.-.-]","64421"
"RAG1","recombination activating 1 [KO:K10628] [EC:2.3.2.27]","5896"
"RAG2","recombination activating 2 [KO:K10988]","5897"
"CD3D","CD3d molecule [KO:K06450]","915"
"CD3E","CD3e molecule [KO:K06451]","916"
"PTPRC","protein tyrosine phosphatase, receptor type C [KO:K06478] [EC:3.1.3.48]","5788"
"CD4","CD4 molecule [KO:K06454]","920"
"CD8A","CD8a molecule [KO:K06458]","925"
"CD8B","CD8b molecule [KO:K06459]","926"
"AIRE","autoimmune regulator [KO:K10603]","326"
"TAP1","transporter 1, ATP binding cassette subfamily B member [KO:K05653]","6890"
"TAP2","transporter 2, ATP binding cassette subfamily B member [KO:K05654]","6891"
"LCK","LCK proto-oncogene, Src family tyrosine kinase [KO:K05856] [EC:2.7.10.2]","3932"
"ZAP70","zeta chain of T cell receptor associated protein kinase 70 [KO:K07360] [EC:2.7.10.2]","7535"
"RFX5","regulatory factor X5 [KO:K08061]","5993"
"RFXAP","regulatory factor X associated protein [KO:K08063]","5994"
"RFXANK","regulatory factor X associated ankyrin containing protein [KO:K08062]","8625"
"CIITA","class II major histocompatibility complex transactivator [KO:K08060]","4261"
"ORAI1","ORAI calcium release-activated calcium modulator 1 [KO:K16056]","84876"
"CD79A","CD79a molecule [KO:K06506]","973"
"BLNK","B cell linker [KO:K07371]","29760"
"BTK","Bruton tyrosine kinase [KO:K07370] [EC:2.7.10.2]","695"
"UNG","uracil DNA glycosylase [KO:K03648] [EC:3.2.2.27]","7374"
"AICDA","activation induced cytidine deaminase [KO:K10989] [EC:3.5.4.38]","57379"
"ICOS","inducible T cell costimulator [KO:K06713]","29851"
"TNFRSF13C","TNF receptor superfamily member 13C [KO:K05151]","115650"
"CD19","CD19 molecule [KO:K06465]","930"
"TNFRSF13B","TNF receptor superfamily member 13B [KO:K05150]","23495"
"IGLL1","immunoglobulin lambda like polypeptide 1 [KO:K06554]","3543"
"JAK3","Janus kinase 3 [KO:K11218] [EC:2.7.10.2]","3718"
"IL2","interleukin 2 [KO:K05429]","3558"
"FASLG","Fas ligand [KO:K04389]","356"
"FAS","Fas cell surface death receptor [KO:K04390]","355"
"GZMB","granzyme B [KO:K01353] [EC:3.4.21.79]","3002"
"KLRD1","killer cell lectin like receptor D1 [KO:K06516]","3824"
"KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [KO:K07981]","3802"
"KIR2DL2","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [KO:K07981]","3803"
"KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [KO:K07981]","3804"
"KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [KO:K07980]","3811"
"KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [KO:K07980]","3812"
"KLRC1","killer cell lectin like receptor C1 [KO:K06541]","3821"
"KIR2DL5A","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [KO:K07981]","57292"
"IL12A","interleukin 12A [KO:K05406]","3592"
"IL12B","interleukin 12B [KO:K05425]","3593"
"IL4","interleukin 4 [KO:K05430]","3565"
"IL5","interleukin 5 [KO:K05428]","3567"
"IL10","interleukin 10 [KO:K05443]","3586"
"CTLA4","cytotoxic T-lymphocyte associated protein 4 [KO:K06538]","1493"
"IL15","interleukin 15 [KO:K05433]","3600"
"TNFSF13","TNF superfamily member 13 [KO:K05475]","8741"
"TNFSF13B","TNF superfamily member 13b [KO:K05476]","10673"
"LTB","lymphotoxin beta [KO:K03157]","4050"
"IL11","interleukin 11 [KO:K05417]","3589"
"IL18","interleukin 18 [KO:K05482]","3606"
"TLR2","toll like receptor 2 [KO:K10159]","7097"
"TLR4","toll like receptor 4 [KO:K10160]","7099"
"IL23A","interleukin 23 subunit alpha [KO:K05426]","51561"
"IL17A","interleukin 17A [KO:K05489]","3605"
"PTH","parathyroid hormone [KO:K05261]","5741"
"CSF1","colony stimulating factor 1 [KO:K05453]","1435"
"TNFSF11","TNF superfamily member 11 [KO:K05473]","8600"
"TNFRSF11A","TNF receptor superfamily member 11a [KO:K05147]","8792"
"ATP6V1A","ATPase H+ transporting V1 subunit A [KO:K02145] [EC:7.1.2.2]","523"
"ATP6V1B1","ATPase H+ transporting V1 subunit B1 [KO:K02147]","525"
"ATP6V1B2","ATPase H+ transporting V1 subunit B2 [KO:K02147]","526"
"ATP6V1C2","ATPase H+ transporting V1 subunit C2 [KO:K02148]","245973"
"ATP6V1C1","ATPase H+ transporting V1 subunit C1 [KO:K02148]","528"
"ATP6V1D","ATPase H+ transporting V1 subunit D [KO:K02149]","51382"
"ATP6V1E2","ATPase H+ transporting V1 subunit E2 [KO:K02150]","90423"
"ATP6V1E1","ATPase H+ transporting V1 subunit E1 [KO:K02150]","529"
"ATP6V1F","ATPase H+ transporting V1 subunit F [KO:K02151]","9296"
"ATP6V1G1","ATPase H+ transporting V1 subunit G1 [KO:K02152]","9550"
"ATP6V1G3","ATPase H+ transporting V1 subunit G3 [KO:K02152]","127124"
"ATP6V1G2","ATPase H+ transporting V1 subunit G2 [KO:K02152]","534"
"ATP6V0E1","ATPase H+ transporting V0 subunit e1 [KO:K02153]","8992"
"ATP6V0E2","ATPase H+ transporting V0 subunit e2 [KO:K02153]","155066"
"TCIRG1","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [KO:K02154]","10312"
"ATP6V0A2","ATPase H+ transporting V0 subunit a2 [KO:K02154]","23545"
"ATP6V0A4","ATPase H+ transporting V0 subunit a4 [KO:K02154]","50617"
"ATP6V0A1","ATPase H+ transporting V0 subunit a1 [KO:K02154]","535"
"ATP6V0D1","ATPase H+ transporting V0 subunit d1 [KO:K02146]","9114"
"ATP6V0D2","ATPase H+ transporting V0 subunit d2 [KO:K02146]","245972"
